review,rating,date,bank,source
i like this mobile banking app very much. overall user interface and navigation is awesome. but it lacks instant response when someone deposit or withdraw money.,2,2025-06-07,Dashen Bank,Google Play
love,3,2025-06-06,Dashen Bank,Google Play
wow,5,2025-06-03,Dashen Bank,Google Play
gadaa,5,2025-06-01,Dashen Bank,Google Play
massive upgrade from the amole app.,5,2025-05-31,Dashen Bank,Google Play
good,4,2025-05-31,Dashen Bank,Google Play
very good for this app,5,2025-05-31,Dashen Bank,Google Play
top,5,2025-05-31,Dashen Bank,Google Play
this app better than amole . but the biometric on new update doesn't work,4,2025-05-31,Dashen Bank,Google Play
wow,5,2025-05-30,Dashen Bank,Google Play
wow to it saff and this app,5,2025-05-30,Dashen Bank,Google Play
it too slow,3,2025-05-29,Dashen Bank,Google Play
real life changer,5,2025-05-28,Dashen Bank,Google Play
nice application,5,2025-05-27,Dashen Bank,Google Play
useless app ever loading take long,1,2025-05-27,Dashen Bank,Google Play
"game changer app! dashen bank super app is fast, secure, and easy to use. the three-click payment makes sending money super quick, and the qr code payment is perfect for cashless shopping. i also love the biometric login and easy airtime and bill payments. everything i need is in one place. dashen bank has really raised the bar for digital banking in ethiopia. highly recommended!",5,2025-05-26,Dashen Bank,Google Play
very useful app,1,2025-05-26,Dashen Bank,Google Play
"simple, robust features? yes, please! but the endless loading screen killed the fun—i couldn’t use it for days. fix the glitch, and i’ll yeet a higher rating!",2,2025-05-26,Dashen Bank,Google Play
wawww,5,2025-05-24,Dashen Bank,Google Play
it is good but some times says duplicate transaction why?,5,2025-05-24,Dashen Bank,Google Play
very nice,5,2025-05-23,Dashen Bank,Google Play
its best,5,2025-05-23,Dashen Bank,Google Play
it is not as good as to the other mobile bank app.,1,2025-05-22,Dashen Bank,Google Play
"the best of best is now arrived **empowering your financial freedom** ""experience seamless banking at your fingertips with dashen bank. empowering your financial freedom, anytime, anywhere!"" **innovation meets convenience** ""dashen bank mobile banking: where innovation meets convenience. **secure and reliable** ""bank with confidence",5,2025-05-22,Dashen Bank,Google Play
